,Genus,Species,Clade,SubClade,SubClade_Frat,PC1,PC2,PC3,PC4,PC5,dist5,dist4,dist3,dist2,Csize
R_exu_8,Rattus,Rattus_exulans,Rattus,Rattus,Rattus,0.010317015,-0.005804276,0.007385001,0.034123898,0.018840004,0.041401146,0.036866097,0.013952371,0.01183767,29.09859726
R_fac_4,Rattus,Rattus_facetus,Rattus,Rattus,Rattus,0.02547405,-0.014027904,-0.020070192,0.020749709,0.002451496,0.041049752,0.040976485,0.035334429,0.029081082,44.4564696
R_fac_5,Rattus,Rattus_facetus,Rattus,Rattus,Rattus,0.027303989,-0.007734258,-0.017116987,-0.003390663,0.019894465,0.038802115,0.033313877,0.033140878,0.028378276,44.13109931
R_hof_0,Rattus,Rattus_hoffmani,Rattus,Rattus,Rattus,0.055498951,0.002505465,-0.038432858,0.026897188,0.003619098,0.072801457,0.072711445,0.067553649,0.055555476,44.61217247
R_hof_7,Rattus,Rattus_hoffmani,Rattus,Rattus,Rattus,0.024557563,-0.011874267,-0.027352666,-0.012185323,0.026741784,0.048537054,0.040505834,0.038629529,0.027277685,41.04775916
R_mol_0,Rattus,Rattus_mollicomulus,Rattus,Rattus,Rattus,0.023374555,-0.003157597,-0.027277432,-0.003928472,0.015950429,0.03962635,0.036274391,0.036061039,0.023586866,42.73634033
R_xan_5,Rattus,Rattus_xanthurus,Rattus,Rattus,Rattus,0.014801294,-0.015253894,-0.02296855,-0.032407525,0.021816023,0.050054974,0.045050655,0.031293991,0.021254637,45.63118406
S_mac_4,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,-0.046253446,0.009313373,-0.003969413,0.006241443,0.026996336,0.054860133,0.047758058,0.047348458,0.047181778,23.97513413
S_mac_6,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,-0.035867125,-0.021830824,-0.006201203,-0.005175963,0.011632008,0.044312353,0.042758403,0.042443969,0.041988517,23.59122116
S_mac_som2,Sommeromys,Sommeromys_macrorhinos,Echiothrix,Echiothrix,Echiothrix,-0.040656355,0.008406471,-0.007564789,0.00566937,0.028401069,0.051181993,0.042579053,0.042199929,0.041516357,23.96210442
T_arc_2,Taeromys,Taeromys_arcuatus,Bunomys,Taeromys,Taeromys,0.012743636,0.024685578,0.013642112,-0.006132094,-0.043836183,0.054010173,0.031551352,0.030949721,0.027780893,52.49716821
T_arc_4,Taeromys,Taeromys_arcuatus,Bunomys,Taeromys,Taeromys,0.002645899,0.03202232,0.03561546,-0.013585707,-0.005084902,0.050113056,0.04985441,0.047967601,0.032131445,46.9262003
T_cal_5,Taeromys,Taeromys_callitrichus,Bunomys,Taeromys,Taeromys,0.01390471,0.021275353,-0.028591998,-0.005148009,0.000193621,0.038600822,0.038600336,0.038255509,0.025416168,47.79677034
T_cel_0,Taeromys,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,0.056890236,0.011503056,0.024299232,-0.04621622,0.016307164,0.079756721,0.078071832,0.062922746,0.058041531,49.27149551
T_cel_1,Taeromys,Taeromys_celebensis,Bunomys,Taeromys,Taeromys,0.037845399,0.040821183,-0.004440225,-0.045438038,0.022017787,0.075284507,0.071992875,0.055842267,0.055665458,45.91382649
T_mac_9,Tateomys,Tateomys_macrocercus,Echiothrix,Echiothrix,Echiothrix,-0.115907584,0.0041947,0.016004943,0.009434825,0.007165625,0.117680431,0.117462069,0.117082542,0.115983462,27.63955714
T_rhi_7,Tateomys,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,-0.149338828,-0.041180908,0.040696995,-0.006794862,-0.01406915,0.160929517,0.160313344,0.16016928,0.154912726,36.19794614
T_rhi_8,Tateomys,Tateomys_rhinogradoides,Echiothrix,Echiothrix,Echiothrix,-0.136280439,-0.056717088,0.041156037,-0.0176011,-0.006549911,0.154388165,0.154249162,0.153241657,0.147611605,35.56309471
T_tar_5,Taeromys,Taeromys_tarae,Bunomys,Taeromys,Taeromys,0.019599071,0.010003661,-0.045127321,-0.003826671,-0.009820049,0.051300572,0.050351915,0.050206294,0.022004473,51.19903857
T_tar_7,Taeromys,Taeromys_tarae,Bunomys,Taeromys,Taeromys,0.022959907,0.02049181,-0.03602432,-0.004879604,0.003181253,0.047736298,0.047630177,0.047379566,0.030774528,52.09867285
W_mam_7,Waiomys,Waiomys_mamasae,Echiothrix,Echiothrix,Echiothrix,-0.031052708,0.007207039,0.005268332,0.006192736,0.003484082,0.033082566,0.032898592,0.032310484,0.031878081,28.5643066
